frame_index,is_cut,histogram_intersection,psnr_db,mse,psnr_passes_gate,mean_ssim_roi,mean_ssim_full,divergent_fraction,delta_bds,bds_reference,bds_test,baseline_median,baseline_mad,baseline_z,baseline_anomaly,persistence,blockiness_norm,area_norm,ssim_divergence_norm,gate_open,gated,final_score
17,False,0.9983207947530864,20.838830812502906,536.0401000976562,False,0.8850904703140259,0.8844383358955383,0.1507349537037037,0.0,0.8937372372711188,0.8847306284144584,0.0,0.0,0.0,False,0.0,0.0,0.1507349537037037,0.11490952968597412,True,False,4.559214899275038
18,False,0.9974580439814813,20.84055993184726,535.8267211914062,False,0.8850806951522827,0.8844266533851624,0.15058449074074073,0.0,0.9009871920123088,0.8792038172539157,0.0,0.0,0.0,False,0.0,0.0,0.15058449074074073,0.11491930484771729,True,False,4.557153458065456
19,False,0.9966189236111112,20.847304930162707,534.9951782226562,False,0.8847945332527161,0.8841333985328674,0.15135320216049383,0.0,0.9090151519199269,0.8766691358224251,0.0,0.0,0.0,False,0.0,0.0,0.15135320216049383,0.11520546674728394,True,False,4.5744073673530865
20,False,0.9980574845679013,20.831748908264473,536.9149169921875,False,0.8848021626472473,0.8841408491134644,0.15089023919753086,0.0,0.9076492801867436,0.8736566720790706,0.0,0.0,0.0,False,0.0,0.0,0.15089023919753086,0.11519783735275269,True,False,4.567310335018017
21,False,0.9976051311728396,20.798128401317648,541.0875244140625,False,0.8843741416931152,0.8837012052536011,0.15118055555555557,0.0,0.9013787659357567,0.8794849567651285,0.0,0.0,0.0,False,0.0,0.0,0.15118055555555557,0.11562585830688477,True,False,4.5802254994710285
22,False,0.9980941358024692,20.780748194520267,543.2572631835938,False,0.884624183177948,0.8839489817619324,0.15042004243827162,0.0,0.9000891194126732,0.8881670629563669,0.0,0.0,0.0,False,0.0,0.0,0.15042004243827162,0.115375816822052,True,False,4.563816973015114
23,False,0.9970288387345679,20.785877918814176,542.615966796875,False,0.8842898607254028,0.8836100101470947,0.15115065586419754,0.0,0.8992169313109226,0.8808321482742921,0.0,0.0,0.0,False,0.0,0.0,0.15115065586419754,0.11571013927459717,True,False,4.581462623454907
24,False,0.9968258101851852,20.818123089546653,538.6021118164062,False,0.8842326402664185,0.8835676908493042,0.15123939043209877,0.0,0.907643942792762,0.8767205721410841,0.0,0.0,0.0,False,0.0,0.0,0.15123939043209877,0.11576735973358154,True,False,4.583938051153112
25,False,0.9914646026234568,20.836490970140737,536.3289794921875,False,0.8891373872756958,0.8884836435317993,0.14263840663580246,0.0,0.9478897756299535,0.9007594434264888,0.0,0.0,0.0,False,0.0,0.0,0.14263840663580246,0.1108626127243042,True,False,4.35682835402312
26,False,0.9988671875,20.858972976949747,533.5597534179688,False,0.8894643783569336,0.888809859752655,0.14237991898148147,0.0,0.9418101387193301,0.9012339642704034,0.0,0.0,0.0,False,0.0,0.0,0.14237991898148147,0.1105356216430664,True,False,4.34641121758355
27,False,0.9978742283950617,20.90145926225076,528.365478515625,False,0.8899412155151367,0.8892942667007446,0.1423485725308642,0.0,0.930619649905843,0.8931120147951176,0.0,0.0,0.0,False,0.0,0.0,0.1423485725308642,0.11005878448486328,True,False,4.336404277660229
28,False,0.9978626543209876,20.9544200288203,521.9613647460938,False,0.8903006911277771,0.8896578550338745,0.14210069444444445,0.0,0.9200035876104243,0.8872549319774788,0.0,0.0,0.0,False,0.0,0.0,0.14210069444444445,0.1096993088722229,True,False,4.325496594111125
29,False,0.9984177276234568,20.9838896384204,518.4315185546875,False,0.8903998136520386,0.8897611498832703,0.14194685570987653,0.0,0.9106347084478998,0.8816970782776063,0.0,0.0,0.0,False,0.0,0.0,0.14194685570987653,0.10960018634796143,True,False,4.321206562607376
30,False,0.9975708912037038,20.99578897136954,517.0130004882812,False,0.8902284502983093,0.8895925879478455,0.1426731288580247,0.0,0.9085872653791802,0.8789491414868913,0.0,0.0,0.0,False,0.0,0.0,0.1426731288580247,0.10977154970169067,True,False,4.335527926904184
31,False,0.9979668209876543,21.038659029546707,511.9345703125,False,0.8900871276855469,0.8894546627998352,0.14322337962962964,0.0,0.9101774201784374,0.882478913249472,0.0,0.0,0.0,False,0.0,0.0,0.14322337962962964,0.10991287231445312,True,False,4.346608140733507
32,False,0.9979041280864197,21.066951398412968,508.6103820800781,False,0.8901492357254028,0.8895214200019836,0.1435619212962963,0.0,0.9151548032608253,0.8887020648036686,0.0,0.0,0.0,False,0.0,0.0,0.1435619212962963,0.10985076427459717,True,False,4.350444104936388
33,False,0.9974213927469135,21.067889344548593,508.50054931640625,False,0.8890144228935242,0.8883692622184753,0.14442515432098765,0.0,0.9321259691569832,0.8881431838104243,0.0,0.0,0.0,False,0.0,0.0,0.14442515432098765,0.11098557710647583,True,False,4.3860888569443315
34,False,0.9964506172839505,21.053686540199315,510.1662292480469,False,0.8887107968330383,0.8880649209022522,0.14467447916666668,0.0,0.9291556751437802,0.8917922318889899,0.0,0.0,0.0,False,0.0,0.0,0.14467447916666668,0.11128920316696167,True,False,4.395901250839233
35,False,0.9959760802469136,21.035514621011558,512.3053588867188,False,0.8882685899734497,0.8876133561134338,0.14520109953703703,0.0,0.9211990560033914,0.8899100802591561,0.0,0.0,0.0,False,0.0,0.0,0.14520109953703703,0.11173141002655029,True,False,4.412644693586562
36,False,0.9971397569444445,21.081467536252163,506.9132080078125,False,0.8884240984916687,0.8877760767936707,0.1454296875,0.0,0.9197030921725747,0.8875925382098576,0.0,0.0,0.0,False,0.0,0.0,0.1454296875,0.1115759015083313,True,False,4.412963342666626
37,False,0.9963430748456791,21.136931741002137,500.48052978515625,False,0.8897482752799988,0.8891049027442932,0.14381028163580248,0.0,0.9206591354522906,0.873410086146071,0.0,0.0,0.0,False,0.0,0.0,0.14381028163580248,0.11025172472000122,True,False,4.362188718937062
38,False,0.9971522955246914,21.1506771234434,498.8990173339844,False,0.8900396823883057,0.8894273042678833,0.1439134837962963,0.0,0.9103299036106992,0.8794645380041589,0.0,0.0,0.0,False,0.0,0.0,0.1439134837962963,0.10996031761169434,True,False,4.357908609178331
39,False,0.9975544945987654,21.146541215587497,499.3743591308594,False,0.8902231454849243,0.889625072479248,0.14357783564814816,0.0,0.90057717522013,0.8764750007744595,0.0,0.0,0.0,False,0.0,0.0,0.14357783564814816,0.10977685451507568,True,False,4.349204625023736
40,False,0.9974430941358023,21.13459217629624,500.7502136230469,False,0.8896362781524658,0.8890501856803894,0.14419849537037038,0.0,0.8992079503870926,0.8791146086691985,0.0,0.0,0.0,False,0.0,0.0,0.14419849537037038,0.11036372184753418,True,False,4.370251867506239
41,False,0.9974802276234569,21.142803541677523,499.8043212890625,False,0.8893070816993713,0.8887260556221008,0.14466869212962963,0.0,0.900144277691339,0.8830652104233659,0.0,0.0,0.0,False,0.0,0.0,0.14466869212962963,0.11069291830062866,True,False,4.383888747957018
42,False,0.997451774691358,21.181159099883946,495.4096374511719,False,0.8889005780220032,0.8883267045021057,0.14494116512345678,0.0,0.8930009492150487,0.8805199109339531,0.0,0.0,0.0,False,0.0,0.0,0.14494116512345678,0.11109942197799683,True,False,4.396105916411789
43,False,0.9975786072530863,21.21839260839614,491.18048095703125,False,0.8891592621803284,0.8886069655418396,0.14459297839506172,0.0,0.8900343688596302,0.8719765283122295,0.0,0.0,0.0,False,0.0,0.0,0.14459297839506172,0.11084073781967163,True,False,4.385709432319358
44,False,0.997578125,21.260679173304986,486.421142578125,False,0.8911266922950745,0.8906084299087524,0.14343557098765433,0.0,0.8895078555308878,0.8710009455636474,0.0,0.0,0.0,False,0.0,0.0,0.14343557098765433,0.10887330770492554,True,False,4.328999718913326
45,False,0.9982634066358025,21.316902115175594,480.16461181640625,False,0.8933627605438232,0.8928642272949219,0.1425265239197531,0.0,0.88978705904438,0.8732412704862256,0.0,0.0,0.0,False,0.0,0.0,0.1425265239197531,0.10663723945617676,True,False,4.270642647919831
46,False,0.9984312307098765,21.388870935907413,472.2731628417969,False,0.8953038454055786,0.8948218822479248,0.14085117669753086,0.0,0.8911103123492443,0.8740498091146995,0.0,0.0,0.0,False,0.0,0.0,0.14085117669753086,0.10469615459442139,True,False,4.20669074235139
47,False,0.9980574845679013,21.504077928796868,459.9096984863281,False,0.8955880999565125,0.8951128125190735,0.14097366898148148,0.0,0.8963273495345647,0.866187790426601,0.0,0.0,0.0,False,0.0,0.0,0.14097366898148148,0.10441190004348755,True,False,4.202843035591973
48,False,0.9980502507716049,21.627258151483193,447.04840087890625,False,0.8962664008140564,0.8957967162132263,0.14053626543209877,0.0,0.9066383185495787,0.8652410725812062,0.0,0.0,0.0,False,0.0,0.0,0.14053626543209877,0.1037335991859436,True,False,4.182715965200353
49,False,0.9973611111111111,21.68489757095549,441.1543884277344,False,0.8966081142425537,0.896129310131073,0.14049672067901234,0.0,0.9136486244385894,0.8608629489935465,0.0,0.0,0.0,False,0.0,0.0,0.14049672067901234,0.10339188575744629,True,False,4.1752885253341105
50,False,0.9941555748456791,21.646161502497467,445.1067810058594,False,0.8960451483726501,0.8955385088920593,0.13849295910493828,0.0,0.9419001990354949,0.9031766569565236,0.0,0.0,0.0,False,0.0,0.0,0.13849295910493828,0.10395485162734985,True,False,4.156491419121071
