event_id,start_frame,end_frame,duration_frames,peak_frame,peak_score,mean_score,severity,start_time_s,end_time_s
1,103,115,13,114,24.58526094194114,23.870205409481052,medium,4.12,4.6
2,160,162,3,160,23.322740206342214,23.260475502056504,medium,6.4,6.48
3,196,197,2,196,22.90782268437798,22.893172118668502,medium,7.84,7.88
4,204,208,5,208,23.63696635514827,23.577970810444093,medium,8.16,8.32
5,228,233,6,229,24.658357983903105,23.255373207421982,medium,9.12,9.32
6,431,434,4,434,20.67340026642203,20.545532936915915,medium,17.24,17.36
7,440,447,8,441,24.484194676396303,23.328338162868132,medium,17.6,17.88
