frame_index,is_cut,histogram_intersection,psnr_db,mse,psnr_passes_gate,mean_ssim_roi,mean_ssim_full,divergent_fraction,delta_bds,bds_reference,bds_test,baseline_median,baseline_mad,baseline_z,baseline_anomaly,persistence,blockiness_norm,area_norm,ssim_divergence_norm,gate_open,gated,final_score
0,False,1.0,20.496574422789564,579.9932224151235,False,0.8861809087648912,0.885508578945954,0.145727237654321,0.0,0.9584092496410126,0.9078558125473091,nan,nan,nan,False,0.0,0.0,0.145727237654321,0.1138190912351088,True,False,4.462290389516991
1,False,0.9964607445987654,20.541619331929226,574.0086376350308,False,0.88618295995045,0.8855140668308936,0.14595293209876542,0.0,0.9454022496098541,0.8978902733889862,nan,nan,nan,False,0.0,0.0,0.14595293209876542,0.11381704004954996,True,False,4.46563478247248
2,False,0.9976142939814815,20.46355937445206,584.4191300154321,False,0.8857941493521935,0.8851212529981406,0.14662663966049383,0.0,0.9234277555502971,0.886817293157096,nan,nan,nan,False,0.0,0.0,0.14662663966049383,0.11420585064780653,True,False,4.483516607863539
3,False,0.9974864969135804,20.453882010418106,585.722840470679,False,0.8859390235226412,0.885256089866809,0.1471045524691358,0.0,0.9076716418144327,0.8756510605928546,nan,nan,nan,False,0.0,0.0,0.1471045524691358,0.1140609764773588,True,False,4.4877878165842136
4,False,0.997923900462963,20.406769944308053,592.1113233024691,False,0.8856473109809849,0.8849813554262876,0.1486400462962963,0.0,0.8997816486720274,0.8712008952247571,nan,nan,nan,False,0.0,0.0,0.1486400462962963,0.11435268901901507,True,False,4.516654474824746
5,False,0.9980275848765432,20.377232080985397,596.1522024498457,False,0.8851134510237804,0.8844677999393477,0.14936921296296296,0.0,0.8895928789322359,0.872203752554723,nan,nan,nan,False,0.0,0.0,0.14936921296296296,0.11488654897621964,True,False,4.538269173968837
6,False,0.9973620756172838,20.351353676521843,599.7151128472223,False,0.884787571937175,0.8841465082531619,0.15028501157407406,0.0,0.8947593344437766,0.8754764412959309,nan,nan,nan,False,0.0,0.0,0.15028501157407406,0.11521242806282495,True,False,4.55852373486761
7,False,0.9975371334876544,20.35038018900241,599.8495563271605,False,0.8842790753548547,0.8836344112672543,0.15109278549382715,0.0,0.8958291862528669,0.8791432722362797,nan,nan,nan,False,0.0,0.0,0.15109278549382715,0.11572092464514527,True,False,4.580810275310313
8,False,0.997377025462963,20.374815963567634,596.4839530285494,False,0.8840210272397839,0.8833854644371202,0.15174382716049384,0.0,0.905384899380886,0.876686246791454,nan,nan,nan,False,0.0,0.0,0.15174382716049384,0.11597897276021607,True,False,4.595736862611729
9,False,0.9981949266975307,20.422291340934546,589.9989337384259,False,0.8837739396184101,0.8831359747899813,0.1522333140432099,0.0,0.8987612499014127,0.8799099543215982,nan,nan,nan,False,0.0,0.0,0.1522333140432099,0.11622606038158989,True,False,4.608020918279947
