event_id,start_frame,end_frame,duration_frames,peak_frame,peak_score,mean_score,severity,start_time_s,end_time_s
1,2,7,6,4,24.627729679020735,21.885162304273745,medium,0.06666666666666667,0.23333333333333334
2,12,60,49,31,30.52652544047062,23.42563873433961,medium,0.4,2.0
3,66,68,3,68,21.550347879837478,20.984168409165587,medium,2.2,2.2666666666666666
4,73,91,19,75,27.775954691647552,22.451258670975513,medium,2.433333333333333,3.033333333333333
5,99,102,4,100,23.71640936660238,23.211537111767612,medium,3.3,3.4
6,110,135,26,127,30.60120434563125,21.90545260426344,medium,3.6666666666666665,4.5
7,141,200,60,200,64.53963206753433,24.62143651258322,high,4.7,6.666666666666667
