frame_index,is_cut,histogram_intersection,psnr_db,mse,psnr_passes_gate,mean_ssim_roi,mean_ssim_full,divergent_fraction,delta_bds,bds_reference,bds_test,baseline_median,baseline_mad,baseline_z,baseline_anomaly,persistence,blockiness_norm,area_norm,ssim_divergence_norm,gate_open,gated,final_score
0,False,1.0,20.49657440270297,579.9932250976562,False,0.8725154399871826,0.8679754137992859,0.18997154706790123,0.0,0.9584092496410126,0.9078558125473091,nan,nan,nan,False,0.0,0.0,0.18997154706790123,0.12748456001281738,True,False,5.399264406274866
1,False,0.9964607445987654,20.54161910981322,574.0086669921875,False,0.8712365627288818,0.8666582107543945,0.1899956597222222,0.0,0.9454022496098541,0.8978902733889862,nan,nan,nan,False,0.0,0.0,0.1899956597222222,0.12876343727111816,True,False,5.425203641255696
2,False,0.9976142939814815,20.46355938632316,584.4191284179688,False,0.8692710995674133,0.8646177053451538,0.1916112075617284,0.0,0.9234277555502971,0.886817293157096,nan,nan,nan,False,0.0,0.0,0.1916112075617284,0.13072890043258667,True,False,5.488746122077659
3,False,0.9974864969135804,20.45388201868703,585.7228393554688,False,0.8681433200836182,0.8634796738624573,0.19310619212962962,0.0,0.9076716418144327,0.8756510605928546,nan,nan,nan,False,0.0,0.0,0.19310619212962962,0.13185667991638184,True,False,5.533726480272081
4,False,0.997923900462963,20.406769908936354,592.111328125,False,0.8669401407241821,0.862311601638794,0.19467351466049382,0.0,0.8997816486720274,0.8712008952247571,nan,nan,nan,False,0.0,0.0,0.19467351466049382,0.13305985927581787,True,False,5.581299905423764
5,False,0.9980275848765432,20.377231940896777,596.1522216796875,False,0.8647089600563049,0.8600383400917053,0.19528838734567902,0.0,0.8895928789322359,0.872203752554723,nan,nan,nan,False,0.0,0.0,0.19528838734567902,0.13529103994369507,True,False,5.635146609059087
6,False,0.9973620756172838,20.351353857249535,599.715087890625,False,0.863323986530304,0.8586037158966064,0.1956983024691358,0.0,0.8947593344437766,0.8754764412959309,nan,nan,nan,False,0.0,0.0,0.1956983024691358,0.13667601346969604,True,False,5.668994806430957
7,False,0.9975371334876544,20.350380246831044,599.8495483398438,False,0.863149106502533,0.8583890199661255,0.19575858410493827,0.0,0.8958291862528669,0.8791432722362797,nan,nan,nan,False,0.0,0.0,0.19575858410493827,0.13685089349746704,True,False,5.673396631523415
8,False,0.997377025462963,20.374816001971823,596.4839477539062,False,0.8631557822227478,0.8584070205688477,0.19603587962962962,0.0,0.905384899380886,0.876686246791454,nan,nan,nan,False,0.0,0.0,0.19603587962962962,0.1368442177772522,True,False,5.677422549989488
9,False,0.9981949266975307,20.422291579217195,589.9989013671875,False,0.8639029860496521,0.859207272529602,0.1948784722222222,0.0,0.8987612499014127,0.8799099543215982,nan,nan,nan,False,0.0,0.0,0.1948784722222222,0.1360970139503479,True,False,5.645117362340291
10,False,0.998022762345679,20.505687469565075,578.7774658203125,False,0.865295946598053,0.8606128096580505,0.19322675540123457,0.0,0.894932776409641,0.8818883700652896,0.0,0.0,0.0,False,0.0,0.0,0.19322675540123457,0.13470405340194702,True,False,5.5924823990574595
11,False,0.9978168402777778,20.552668585289023,572.5501098632812,False,0.8669593930244446,0.8623176217079163,0.19149064429012347,0.0,0.8919245520725498,0.8850367814372301,0.0,0.0,0.0,False,0.0,0.0,0.19149064429012347,0.13304060697555542,True,False,5.5331718038629605
12,False,0.9982614776234567,20.620575690766973,563.667236328125,False,0.869012176990509,0.8644115924835205,0.18994743441358025,0.0,0.8879028692792263,0.8835607384922897,0.0,0.0,0.0,False,0.0,0.0,0.18994743441358025,0.13098782300949097,True,False,5.468967976393523
13,False,0.9967828896604938,20.699062767649096,553.5719604492188,False,0.8713705539703369,0.8668374419212341,0.18824749228395063,0.0,0.9005657938092294,0.8884966767428417,0.0,0.0,0.0,False,0.0,0.0,0.18824749228395063,0.12862944602966309,True,False,5.396301304852521
14,False,0.9968547453703703,20.76795251885501,544.8602294921875,False,0.8736564517021179,0.8691971302032471,0.1868971836419753,0.0,0.9003104408242043,0.8847334814740162,0.0,0.0,0.0,False,0.0,0.0,0.1868971836419753,0.12634354829788208,True,False,5.330328720587271
15,False,0.9972771990740741,20.84032940877719,535.8551635742188,False,0.8749244809150696,0.8705188035964966,0.18580005787037038,0.0,0.8981107490383599,0.8851881525573453,0.0,0.0,0.0,False,0.0,0.0,0.18580005787037038,0.12507551908493042,True,False,5.288511249754165
16,False,0.9976962770061728,20.856990701879862,533.8033447265625,False,0.8749428391456604,0.8705419898033142,0.18601707175925927,0.0,0.8975278938425363,0.8827603036868156,0.0,0.0,0.0,False,0.0,0.0,0.18601707175925927,0.1250571608543396,True,False,5.29139929347568
17,False,0.9983207947530864,20.838830812502906,536.0401000976562,False,0.8745680451393127,0.8701406717300415,0.18636670524691357,0.0,0.8937372372711188,0.8847306284144584,0.0,0.0,0.0,False,0.0,0.0,0.18636670524691357,0.12543195486068726,True,False,5.304139675917449
18,False,0.9974580439814813,20.84055993184726,535.8267211914062,False,0.8749420642852783,0.8705341219902039,0.1857638888888889,0.0,0.9009871920123088,0.8792038172539157,0.0,0.0,0.0,False,0.0,0.0,0.1857638888888889,0.12505793571472168,True,False,5.287617047627767
19,False,0.9966189236111112,20.847304930162707,534.9951782226562,False,0.8752647638320923,0.870861291885376,0.18563126929012347,0.0,0.9090151519199269,0.8766691358224251,0.0,0.0,0.0,False,0.0,0.0,0.18563126929012347,0.12473523616790771,True,False,5.2791737627100055
20,False,0.9980574845679013,20.831748908264473,536.9149169921875,False,0.8749069571495056,0.8704934120178223,0.1857397762345679,0.0,0.9076492801867436,0.8736566720790706,0.0,0.0,0.0,False,0.0,0.0,0.1857397762345679,0.12509304285049438,True,False,5.287957500528407
21,False,0.9976051311728396,20.798128401317648,541.0875244140625,False,0.873956561088562,0.8694950342178345,0.1863305362654321,0.0,0.9013787659357567,0.8794849567651285,0.0,0.0,0.0,False,0.0,0.0,0.1863305362654321,0.126043438911438,True,False,5.315826822210242
22,False,0.9980941358024692,20.780748194520267,543.2572631835938,False,0.8730879426002502,0.8686027526855469,0.1866922260802469,0.0,0.9000891194126732,0.8881670629563669,0.0,0.0,0.0,False,0.0,0.0,0.1866922260802469,0.12691205739974976,True,False,5.338624539198698
23,False,0.9970288387345679,20.785877918814176,542.615966796875,False,0.8731303215026855,0.8686491250991821,0.1869574652777778,0.0,0.8992169313109226,0.8808321482742921,0.0,0.0,0.0,False,0.0,0.0,0.1869574652777778,0.12686967849731445,True,False,5.341755549112956
24,False,0.9968258101851852,20.818123089546653,538.6021118164062,False,0.8738388419151306,0.8694052696228027,0.1865234375,0.0,0.907643942792762,0.8767205721410841,0.0,0.0,0.0,False,0.0,0.0,0.1865234375,0.12616115808486938,True,False,5.321074724197388
25,False,0.9914646026234568,20.836490970140737,536.3289794921875,False,0.8741445541381836,0.8697277903556824,0.18636670524691357,0.0,0.9478897756299535,0.9007594434264888,0.0,0.0,0.0,False,0.0,0.0,0.18636670524691357,0.1258554458618164,True,False,5.312609495940032
26,False,0.9988671875,20.858972976949747,533.5597534179688,False,0.8748430609703064,0.8704388737678528,0.18666811342592593,0.0,0.9418101387193301,0.9012339642704034,0.0,0.0,0.0,False,0.0,0.0,0.18666811342592593,0.1251569390296936,True,False,5.3031604819827605
27,False,0.9978742283950617,20.90145926225076,528.365478515625,False,0.8759046792984009,0.8715571165084839,0.18655960648148148,0.0,0.930619649905843,0.8931120147951176,0.0,0.0,0.0,False,0.0,0.0,0.18655960648148148,0.12409532070159912,True,False,5.280300511254205
28,False,0.9978626543209876,20.9544200288203,521.9613647460938,False,0.8775612115859985,0.8732796311378479,0.18531780478395063,0.0,0.9200035876104243,0.8872549319774788,0.0,0.0,0.0,False,0.0,0.0,0.18531780478395063,0.12243878841400146,True,False,5.228542840039289
29,False,0.9984177276234568,20.9838896384204,518.4315185546875,False,0.8783019185066223,0.8740505576133728,0.18522135416666666,0.0,0.9106347084478998,0.8816970782776063,0.0,0.0,0.0,False,0.0,0.0,0.18522135416666666,0.12169808149337769,True,False,5.212281942367554
30,False,0.9975708912037038,20.99578897136954,517.0130004882812,False,0.8785130977630615,0.8742772340774536,0.18484760802469136,0.0,0.9085872653791802,0.8789491414868913,0.0,0.0,0.0,False,0.0,0.0,0.18484760802469136,0.12148690223693848,True,False,5.20245216510914
31,False,0.9979668209876543,21.038659029546707,511.9345703125,False,0.8790979385375977,0.8748846650123596,0.18472704475308643,0.0,0.9101774201784374,0.882478913249472,0.0,0.0,0.0,False,0.0,0.0,0.18472704475308643,0.12090206146240234,True,False,5.188946900544343
32,False,0.9979041280864197,21.066951398412968,508.6103820800781,False,0.8793508410453796,0.8751369118690491,0.18336467978395063,0.0,0.9151548032608253,0.8887020648036686,0.0,0.0,0.0,False,0.0,0.0,0.18336467978395063,0.12064915895462036,True,False,5.163453375851666
33,False,0.9974213927469135,21.067889344548593,508.50054931640625,False,0.8798039555549622,0.8755856156349182,0.18277391975308643,0.0,0.9321259691569832,0.8881431838104243,0.0,0.0,0.0,False,0.0,0.0,0.18277391975308643,0.12019604444503784,True,False,5.145529685197054
