event_id,start_frame,end_frame,duration_frames,peak_frame,peak_score,mean_score,severity,start_time_s,end_time_s
1,78,90,13,87,25.622669335631414,24.829433032056894,medium,3.12,3.6
2,129,142,14,132,26.211889162347536,25.468726980730988,medium,5.16,5.68
3,257,264,8,258,24.170192630040898,21.13621806803655,medium,10.28,10.56
4,270,276,7,274,25.37713982348181,24.068655454880112,medium,10.8,11.04
5,455,456,2,455,23.7843607385643,23.760639147994446,medium,18.2,18.24
