event_id,start_frame,end_frame,duration_frames,peak_frame,peak_score,mean_score,severity,start_time_s,end_time_s
1,78,90,13,87,25.62270449014158,24.829463915355284,medium,3.12,3.6
2,129,142,14,132,26.211969688215458,25.468763523900176,medium,5.16,5.68
3,257,264,8,258,24.170188807561512,21.136235539297395,medium,10.28,10.56
4,270,276,7,274,25.37716628195419,24.068692420437973,medium,10.8,11.04
5,455,456,2,455,23.784391106578056,23.760671750335575,medium,18.2,18.24
